figure_file_png,figure_file_pdf,caption_draft,article_purpose,displayed_in_notebook
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_RMSE.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_RMSE.pdf,Supplementary benchmark heatmap for RMSE.,supplementary metric diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_MAE.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_MAE.pdf,Supplementary benchmark heatmap for MAE.,supplementary metric diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_R2.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_R2.pdf,Supplementary benchmark heatmap for R2.,supplementary metric diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_sMAPE.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_sMAPE.pdf,Supplementary benchmark heatmap for sMAPE.,supplementary metric diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_WAPE.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_WAPE.pdf,Supplementary benchmark heatmap for WAPE.,supplementary metric diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_DirectionalAccuracy.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_DirectionalAccuracy.pdf,Supplementary benchmark heatmap for DirectionalAccuracy.,supplementary metric diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_Energy.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_Energy.pdf,Supplementary absolute-error distribution for Energy.,supplementary error-distribution diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_AAPL.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_AAPL.pdf,Supplementary absolute-error distribution for AAPL.,supplementary error-distribution diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_Jena.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_Jena.pdf,Supplementary absolute-error distribution for Jena.,supplementary error-distribution diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_ETTh1.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_ETTh1.pdf,Supplementary absolute-error distribution for ETTh1.,supplementary error-distribution diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_ETTm2.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_ETTm2.pdf,Supplementary absolute-error distribution for ETTm2.,supplementary error-distribution diagnostics,False
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_ExchangeRate.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/absolute_error_distribution_ExchangeRate.pdf,Supplementary absolute-error distribution for ExchangeRate.,supplementary error-distribution diagnostics,False
